選手名,best_nine,年齢,年数,身長,体重,年俸(推定),打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA,本塁打率,三振率,四球率,PSN,BB/K,守備_内野手,守備_外野手,守備_投手,守備_捕手,投打_右両,投打_右右,投打_右左,投打_左右,投打_左左
大崎　雄太朗,0,25.0,3.0,169.0,76.0,1200.0,0.275,75.0,188.0,160.0,18.0,44.0,13.0,1.0,0.0,59.0,14.0,2.0,0.0,13.0,0.0,11.0,1.0,4.0,30.0,1.0,0.337,0.369,0.706,0.46,0.244,0.094,0.062,21.65,4.5,20.24,4.2,0.308,0.175,0.65,0.0,6.27,17.09,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
栗山　巧,0,26.0,8.0,177.0,85.0,6000.0,0.267,140.0,643.0,569.0,78.0,152.0,24.0,6.0,12.0,224.0,57.0,18.0,5.0,8.0,3.0,53.0,0.0,10.0,106.0,9.0,0.33899999999999997,0.39399999999999996,0.732,0.47,0.251,0.127,0.071,79.42,4.85,78.58,4.8,0.303,0.243,0.696,47.42,6.07,12.13,14.4,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
銀仁朗,0,22.0,4.0,180.0,93.0,1600.0,0.22,112.0,306.0,273.0,22.0,60.0,15.0,0.0,3.0,84.0,25.0,1.0,0.0,14.0,3.0,15.0,1.0,1.0,75.0,5.0,0.26,0.308,0.568,0.363,0.19399999999999998,0.08800000000000001,0.04,21.01,2.41,21.7,2.49,0.26899999999999996,0.147,0.46299999999999997,91.0,4.08,20.4,1.5,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
中島　裕之,1,27.0,9.0,180.0,83.0,20000.0,0.309,144.0,648.0,560.0,100.0,173.0,31.0,3.0,22.0,276.0,92.0,20.0,12.0,0.0,3.0,75.0,4.0,10.0,113.0,17.0,0.39799999999999996,0.493,0.8909999999999999,0.562,0.302,0.184,0.08900000000000001,106.1,6.84,103.01,6.64,0.353,0.332,0.887,25.45,5.73,8.64,20.95,0.66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
清水　崇行,0,36.0,14.0,183.0,83.0,5000.0,0.20800000000000002,44.0,134.0,125.0,9.0,26.0,4.0,1.0,1.0,35.0,7.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,19.0,1.0,0.261,0.28,0.541,0.355,0.188,0.07200000000000001,0.053,8.41,2.25,8.67,2.32,0.23800000000000002,0.128,0.426,125.0,7.05,16.75,0.0,0.42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
石井　義人,0,31.0,13.0,178.0,82.0,4300.0,0.3,125.0,422.0,383.0,48.0,115.0,17.0,3.0,6.0,156.0,39.0,3.0,2.0,5.0,1.0,30.0,1.0,3.0,73.0,7.0,0.355,0.40700000000000003,0.762,0.491,0.262,0.107,0.055,54.93,5.24,52.81,5.04,0.35200000000000004,0.188,0.6859999999999999,63.83,5.78,14.07,4.0,0.41,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
後藤　武敏,0,29.0,7.0,176.0,84.0,2400.0,0.293,54.0,161.0,147.0,13.0,43.0,4.0,1.0,5.0,64.0,23.0,0.0,2.0,0.0,1.0,13.0,0.0,0.0,33.0,4.0,0.348,0.435,0.7829999999999999,0.493,0.265,0.14300000000000002,0.055,20.72,5.04,20.67,5.03,0.345,0.218,0.682,29.4,4.88,12.38,0.0,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
片岡　易之,0,26.0,5.0,176.0,82.0,10000.0,0.26,139.0,646.0,588.0,92.0,153.0,32.0,4.0,13.0,232.0,58.0,51.0,12.0,12.0,3.0,36.0,2.0,7.0,72.0,8.0,0.309,0.395,0.7040000000000001,0.441,0.23800000000000002,0.134,0.049,77.69,4.46,76.6,4.4,0.27,0.262,0.69,45.23,8.97,17.94,20.72,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
平尾　博嗣,0,34.0,16.0,176.0,76.0,4050.0,0.2,49.0,132.0,115.0,9.0,23.0,5.0,0.0,5.0,43.0,11.0,0.0,0.0,2.0,0.0,14.0,0.0,1.0,32.0,7.0,0.292,0.374,0.6659999999999999,0.41700000000000004,0.225,0.174,0.092,10.89,2.91,11.35,3.03,0.225,0.29600000000000004,0.586,23.0,4.13,9.43,0.0,0.44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
赤田　将吾,0,29.0,11.0,179.0,83.0,4700.0,0.205,57.0,88.0,78.0,14.0,16.0,4.0,0.0,0.0,20.0,3.0,1.0,1.0,3.0,1.0,6.0,0.0,0.0,19.0,1.0,0.259,0.256,0.515,0.344,0.18100000000000002,0.051,0.054000000000000006,4.8,1.91,5.17,2.05,0.254,0.128,0.406,0.0,4.63,14.67,0.0,0.32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
